id,name,cluster,accommodates,bedrooms,bathrooms,neighbourhood_cleansed,room_type,price,number_of_reviews,review_scores_rating,amenities_count,host_is_superhost
29059.0,Lovely studio Quartier Latin,3,4,1.0,1.0,Ville-Marie,Entire home/apt,137.0,487,4.68,58,t
29061.0,Maison historique - Quartier Latin,3,4,2.0,1.0,Ville-Marie,Entire home/apt,305.0,156,4.75,68,t
36301.0,Romantic & peaceful Plateau  loft,1,2,1.0,1.0,Le Plateau-Mont-Royal,Entire home/apt,154.0,52,4.87,29,t
38118.0,Beautiful room  with a balcony in front of a parc,1,1,3.0,1.0,Ville-Marie,Private room,47.0,17,4.53,21,f
50479.0,L'Arcade Douce,3,3,2.0,1.0,Rosemont-La Petite-Patrie,Entire home/apt,143.0,340,4.96,49,t
66247.0,Modern Loft Next To Basilica Notre Dame In Old Mtl,3,4,1.0,1.0,Ville-Marie,Entire home/apt,150.0,548,4.77,35,t
66276.0,Urban Study/Work Retreat,5,2,1.0,1.0,C̫te-des-Neiges-Notre-Dame-de-Gr̢ce,Entire home/apt,54.0,46,4.73,52,t
70489.0,Ultra Luxurious - City Center,1,4,1.0,1.5,Ville-Marie,Entire home/apt,90.0,1,4.0,41,t
70801.0,"Large, sunny house with garden near Old MTL",0,6,3.0,2.5,Le Sud-Ouest,Entire home/apt,417.0,44,4.9,81,t
85267.0,Country feeling loft in Plateau,1,3,1.0,1.0,Le Plateau-Mont-Royal,Entire home/apt,,40,4.9,27,t
99859.0,Plateau Charm,1,4,2.0,1.0,Le Plateau-Mont-Royal,Entire home/apt,232.0,44,4.81,16,f
103128.0,Family home in Plateau neighbourhood,0,7,4.0,2.0,Le Plateau-Mont-Royal,Entire home/apt,190.0,19,4.89,24,f
135275.0,"Charming aparthotel, little Italie",5,2,1.0,2.0,Villeray-Saint-Michel-Parc-Extension,Entire home/apt,129.0,81,4.81,28,t
137443.0,"Apt + garden (Mile End, Plateau) / # CiTQ 310398",1,5,2.0,1.0,Le Plateau-Mont-Royal,Entire home/apt,257.0,85,4.85,30,t
142722.0,Charming studio in Plateau heart,1,1,,1.0,Le Plateau-Mont-Royal,Entire home/apt,,130,4.86,30,t
160600.0,Spacious 2 BDR+Office Close to Universities & Work,5,4,2.0,1.0,C̫te-des-Neiges-Notre-Dame-de-Gr̢ce,Entire home/apt,88.0,31,4.87,55,t
164087.0,Functional studio (Secret Studio) -plateau,3,2,1.0,1.0,Le Plateau-Mont-Royal,Entire home/apt,140.0,804,4.84,37,
165108.0,The Cocooning in the heart of Rosemont,5,3,2.0,1.0,Rosemont-La Petite-Patrie,Entire home/apt,84.0,32,4.69,51,f
168331.0,Modern vintage 2 BDR in heart plateau,3,4,2.0,1.0,Le Plateau-Mont-Royal,Entire home/apt,326.0,711,4.9,42,
171627.0,MINI LOUNGE LOFT,5,2,0.0,1.0,C̫te-des-Neiges-Notre-Dame-de-Gr̢ce,Entire home/apt,60.0,2,5.0,47,f
180947.0,"Loft at Unity 1, Downtown - 423",1,2,1.0,1.0,Ville-Marie,Entire home/apt,127.0,5,4.25,39,f
182142.0,BESTofMTL-5Bed-2WC-AC-car-rooftop-GYM-HouseKeeping,0,5,4.0,2.5,C̫te-des-Neiges-Notre-Dame-de-Gr̢ce,Entire home/apt,200.0,3,5.0,77,f
190003.0,Large sunny room HEARTH of plateau,4,2,1.0,1.0,Le Plateau-Mont-Royal,Private room,13294.0,1,5.0,7,f
200322.0,A double room 15th of December- Jan 31 (bedroom 2),2,2,1.0,1.0,Ville-Marie,Private room,68.0,1,3.0,9,f
208337.0,"Large apartment, terrace and garden",0,6,4.0,2.5,Le Plateau-Mont-Royal,Entire home/apt,210.0,22,4.82,37,t
211602.0,Beautiful sun-filled Studio,3,2,1.0,1.0,Baie-d'Urf̩,Entire home/apt,139.0,219,4.84,22,f
222430.0,"Private top floor, downtown view",1,2,1.0,1.0,Ville-Marie,Private room,40.0,21,4.16,14,f
231472.0,Charmant appartement ̩quip̩,5,3,1.0,1.0,Villeray-Saint-Michel-Parc-Extension,Entire home/apt,89.0,21,4.89,21,t
233584.0,Spacious room- doubl bed- townhouse,5,2,1.0,3.0,Le Sud-Ouest,Private room,30.0,7,5.0,23,f
234198.0,Lovely studio in little garden,1,1,1.0,0.0,Le Plateau-Mont-Royal,Entire home/apt,140.0,55,4.82,9,t
237216.0,"Modern, quiet Studio",5,2,1.0,1.0,Villeray-Saint-Michel-Parc-Extension,Entire home/apt,75.0,44,4.66,41,f
241212.0,"Le Laurier, exquisite loft",0,5,3.0,1.5,Rosemont-La Petite-Patrie,Entire home/apt,144.0,15,4.93,60,f
256043.0,Plateau Mont-Royal Apt. - Long Term Opportunity,1,3,2.0,1.0,Le Plateau-Mont-Royal,Entire home/apt,138.0,34,4.97,54,f
262688.0,Le Tierra - Private Parking Huge Backyard,3,4,1.0,1.0,Le Sud-Ouest,Entire home/apt,250.0,254,4.75,46,t
285349.0,The authentic and charming Montrealer,0,5,3.0,1.0,Rosemont-La Petite-Patrie,Entire home/apt,144.0,10,4.8,60,f
291629.0,Studio in Rosemont - Rouge,1,2,0.0,1.0,Rosemont-La Petite-Patrie,Entire home/apt,70.0,88,4.88,47,t
319695.0,Sleek Mile End Loft near Ubisoft & Publicis,1,3,1.0,1.0,Le Plateau-Mont-Royal,Entire home/apt,110.0,34,4.77,66,t
331764.0,Loft sur le Plateau avec terrasse,1,2,1.0,1.0,Le Plateau-Mont-Royal,Entire home/apt,49.0,71,4.81,39,t
351671.0,Plateau cozy studio with balcony,1,2,1.0,1.0,Le Plateau-Mont-Royal,Entire home/apt,90.0,76,4.91,22,t
353210.0,Small room in a wonderful house,5,2,1.0,2.0,Mercier-Hochelaga-Maisonneuve,Private room,38.0,33,4.91,35,t
366300.0,Beautiful LOFT in the Plateau MTL,1,4,1.0,1.0,Le Plateau-Mont-Royal,Entire home/apt,198.0,15,5.0,11,f
416010.0,Sunny apartment - Cute neighborhood  (4),5,2,1.0,1.0,Rosemont-La Petite-Patrie,Entire home/apt,55.0,39,4.64,23,f
418104.0,Charming studio in old-Rosemont,3,2,1.0,1.0,Rosemont-La Petite-Patrie,Entire home/apt,65.0,405,4.89,33,f
424710.0,Au coeur du Plateau Mont-Royal,1,4,2.0,1.0,Le Plateau-Mont-Royal,Entire home/apt,,10,4.9,51,f
425582.0,"Montreal Home Monthly only, ideal for couple!",1,4,2.0,1.0,Le Plateau-Mont-Royal,Entire home/apt,75.0,12,4.6,24,f
439833.0,"Beau cozy bachelor, 2 chambres compl̬tement r̩nov̩",5,4,1.0,1.0,Saint-Laurent,Entire home/apt,52.0,87,4.57,22,f
451945.0,Plateau Mont-Royal two bedrooms,1,5,3.0,1.0,Le Plateau-Mont-Royal,Entire home/apt,186.0,12,4.58,59,f
453936.0,"Luminous LOFT, Calm and Spacious",3,2,1.0,1.0,Le Plateau-Mont-Royal,Entire home/apt,149.0,423,4.92,24,t
476730.0,Superb apartment with all comfort | 3BDR | Parking,5,3,3.0,1.0,Rosemont-La Petite-Patrie,Entire home/apt,100.0,47,4.91,31,f
487610.0,Nice room in the heart of Montreal,1,1,1.0,1.0,Le Plateau-Mont-Royal,Private room,27.0,20,4.95,21,f
488221.0,Oasis next to Jean Talon market CITQ 314174,5,6,3.0,1.0,Rosemont-La Petite-Patrie,Entire home/apt,228.0,35,4.91,31,t
498860.0,Amazing apartment in heart of MTL by the mountain,1,4,2.0,1.0,Le Plateau-Mont-Royal,Entire home/apt,,1,5.0,48,f
511509.0,Prime Location in Old Montreal - 2 floors,3,4,1.0,1.0,Ville-Marie,Entire home/apt,183.0,399,4.77,15,f
519108.0,Quartier Villeray Montr̩al,5,4,1.0,1.0,Villeray-Saint-Michel-Parc-Extension,Entire home/apt,100.0,39,4.97,37,f
